,Unnamed: 0.1,Unnamed: 0,№,street,zip_code,latitude,longitude,region,hex_id
0,0,0,0,"""Москва, рабочий посёлок Заречье""",141270,56.1483,37.9529238,"141270, Московская обл, г Пушкино, рп Софрино, ул Заречье",8811aa4513fffff
1,1,1,1,"""Москва, Витебская улица, 9""",121354,55.71068895,37.411925,"121354, г Москва, Можайский р-н, ул Витебская, д 9",8811aa45ddfffff
2,2,2,2,"""Москва, Подольское шоссе""",115093,55.7118495,37.6228682,"115093, г Москва, Даниловский р-н, ул Даниловский Вал, д 1",8811aa7815fffff
3,3,3,3,"""Москва, Севастопольский проспект, 11Е""",117447,55.6867998,37.6040125,"117447, г Москва, р-н Котловка, Севастопольский пр-кт, д 11Е",8811aa7829fffff
4,4,4,4,"""Москва, Кутузовский проспект, 9к1""",121248,55.74847135,37.561184952906686,"121248, г Москва, р-н Дорогомилово, Кутузовский пр-кт, д 9 к 1",8811aa7ae9fffff
5,5,5,5,"""Москва, жилой комплекс Грин парк""",143930,55.76436865,37.9335969713534,"143930, Московская обл, г Балашиха, мкр Салтыковка, ул Лазоревая, д 10",8811aa624dfffff
6,6,6,6,"""Москва, Осенний бульвар, 15""",121609,55.7603275,37.4066459,"121609, г Москва, Крылатское р-н, Осенний б-р, д 15",8811aa449dfffff
7,7,7,7,"""Москва, Верейская улица""",121357,55.7091031,37.4544181,"121357, г Москва, Аминьевское шоссе",8811aa45d7fffff
8,8,8,8,"""Москва, улица Шверника, 17к2""",117447,55.69215275,37.59411846831403,"117449, г Москва, Академический р-н, ул Шверника, д 17 к 2",8811aa7863fffff
9,9,9,9,"""Москва, Перервинский бульвар, 16к2""",109469,55.65535765,37.76875382601271,"109469, г Москва, р-н Марьино, Перервинский б-р, д 16 к 2",8811aa6b0bfffff
10,10,10,10,"""Москва, район Метрогородок""",107143,55.8249036,37.756955,"107143, г Москва, р-н Метрогородок, Открытое шоссе, д 21 к 2",8811aa6235fffff
11,11,11,11,"""Москва, проспект Андропова, 58Б""",115487,55.65964495,37.65361097120422,"115487, г Москва, р-н Нагатино-Садовники, пр-кт Андропова, д 58Б",8811aa79ebfffff
12,12,12,12,"""Москва, Шоссейный проезд""",109316,55.710769,37.702598,"109316, г Москва, р-н Печатники, Волгоградский пр-кт, д 42 к 23",8811aa7993fffff
13,13,13,13,"""Москва, Новослободская улица, 54с3""",127055,55.78842365,37.59391145,"127055, г Москва, Тверской р-н, ул Новослободская, д 54 стр 3",8811aa7ad3fffff
14,14,14,14,"""Москва, Люблинская улица, 27/2с3""",109390,55.6672372,37.7405246,"109390, г Москва, ул Люблинская, д 27/2 стр 3",8811aa6a69fffff
15,15,15,15,"""Москва, Новодевичий пр., 1""",119435,55.72625215,37.55350450896947,"119435, г Москва, р-н Хамовники, Новодевичий проезд, д 1 стр 26",8811aa7a31fffff
16,16,16,16,"""Москва, Большая Филёвская улица""",121433,55.7374609,37.4605399,"121433, г Москва, р-н Фили-Давыдково, ул Большая Филёвская, д 69 к 1",8811aa7a51fffff
17,17,17,17,"""Москва, Ботаническая улица, 14А""",127276,55.8462826,37.58699766780671,"127276, г Москва, р-н Марфино, ул Ботаническая, д 14А",8811aa71d3fffff
18,18,18,18,"""Москва, Шоссейная улица, 4""",109548,55.6916089,37.7270373,"109548, г Москва, р-н Печатники, ул Шоссейная, д 4 к 1",8811aa79b1fffff
19,19,19,19,"""Москва, Строгинский бульвар, 14к6""",123592,55.8020749,37.39998727349446,"123592, г Москва, р-н Строгино, Строгинский б-р, д 14 к 6",8811aa7365fffff
20,20,20,20,"""Москва, Иловайская улица, 26с32""",109651,55.6575783,37.7106062,"109651, г Москва, ул Иловайская, д 26 стр 32",8811aa6b49fffff
21,21,21,21,"""Москва, Ленинградское шоссе, 69к1""",125445,55.8674875,37.4570274,"125445, г Москва, Левобережный р-н, Ленинградское шоссе, д 69 к 1",8811aa7049fffff
22,22,22,22,"""Москва, проезд Черепановых, 29с22""",125183,55.8460634,37.55216,"125183, г Москва, р-н Коптево, проезд Черепановых, д 68",8811aa7033fffff
23,23,23,23,"""Москва, Кронштадтский бульвар, 32""",125438,55.85057805,37.51456154574728,"125438, г Москва, Головинский р-н, Кронштадтский б-р, д 32",8811aa7003fffff
24,24,24,24,"""Москва, Волгоградский просп., 53""",109125,55.7096605,37.7327183,"109125, г Москва, р-н Текстильщики, Волгоградский пр-кт, д 53",8811aa6a49fffff
25,25,25,25,"""Москва, 3-я Песчаная улица, 3""",125252,55.7935546,37.5167798,"125252, г Москва, р-н Сокол, ул 3-я Песчаная, д 3",8811aa7103fffff
26,26,26,26,"""Москва, Ломоносовский проспект, 25к5""",119311,55.692009,37.531073,"119311, г Москва, р-н Раменки, Ломоносовский пр-кт, д 25 к 5",8811aa7b19fffff
27,27,27,27,"""Москва, Уржумская улица, 1/3""",129343,55.8501633,37.6557179,"129343, г Москва, р-н Свиблово, проезд Нансена, д 4 к 2",8811aa620dfffff
28,28,28,28,"""Москва, Рублёвское шоссе, 58""",121609,55.76592135,37.3912556,"121609, г Москва, Крылатское р-н, Рублёвское шоссе, д 58",8811aa44c3fffff
29,29,29,29,"""Москва, Никитский бульвар, 12""",119019,55.7552843,37.6006938,"119019, г Москва, Пресненский р-н, Никитский б-р, д 12",8811aa7a85fffff
30,30,30,30,"""Москва, бульвар Яна Райниса, 45к2""",125373,55.8492061,37.40706458886933,"125373, г Москва, р-н Северное Тушино, б-р Яна Райниса, д 45 к 2",8811aa7267fffff
31,31,31,31,"""Москва, улица Алексея Свиридова, 9с1""",121374,55.727198,37.4552194,"121374, г Москва, р-н Фили-Давыдково, ул Алексея Свиридова, д 7",8811aa7a47fffff
32,32,32,32,"""Москва, аллея Связистов""",121096,55.7327172,37.5046742,"121096, г Москва, р-н Филевский парк, ул Василисы Кожиной, д 7",8811aa7a09fffff
33,33,33,33,"""Москва, Митинская улица, 27к2""",125222,55.84431275,37.36212417295877,"125222, г Москва, р-н Митино, ул Митинская, д 27 к 2",8811aa726dfffff
34,34,34,34,"""Москва, улица Вавилова, 61с1""",117292,55.6872875,37.55797610695287,"117292, г Москва, Академический р-н, ул Вавилова, д 61 стр 1",8811aa7b17fffff
35,35,35,35,"""Москва, Нащокинский переулок, 5с4""",119019,55.74681005,37.597988054035085,"119019, г Москва, р-н Хамовники, Нащокинский пер, д 5 стр 4",8811aa7aa9fffff
36,36,36,36,"""Москва, Таллинская улица, 14""",123458,55.7987777,37.4004722,"123458, г Москва, р-н Строгино, ул Таллинская, д 14",8811aa44d9fffff
37,37,37,37,"""Москва, Проектируемый проезд № 3723""",109548,55.6998005,37.7249517,"109548, г Москва, р-н Печатники, проезд Проектируемый 3723-й",8811aa7997fffff
38,38,38,38,"""Москва, улица Твардовского , 18к5""",123458,55.7999375,37.41156846731613,"123458, г Москва, р-н Строгино, ул Твардовского, д 18 к 5",8811aa7307fffff
39,39,39,39,"""Москва, улица Панфёрова, 18""",119261,55.6810311,37.545925995136514,"119261, г Москва, ул Панфёрова, д 16",8811aa7b15fffff
40,40,40,40,"""Москва, Большая Семёновская улица, 42""",105094,55.7807631,37.715262,"105094, г Москва, р-н Соколиная Гора, ул Большая Семёновская, д 42",8811aa6149fffff
41,41,41,41,"""Москва, 3-я Магистральная улица""",123290,55.758059,37.5260012,"123290, г Москва, Пресненский р-н, ул 2-я Магистральная, д 9 стр 14",8811aa7125fffff
42,42,42,42,"""Москва, Студенческая улица, 14с10""",121152,55.7425113,37.5488761,"121151, г Москва, р-н Дорогомилово, ул Студенческая, д 19 к 1",8811aa7a17fffff
43,43,43,43,"""Москва, проспект Маршала Жукова, 76""",123103,55.77982845,37.451779645306914,"123103, г Москва, р-н Хорошево-Мневники, пр-кт Маршала Жукова, д 76",8811aa449bfffff
44,44,44,44,"""Москва, бульвар Яна Райниса""",125363,55.8505159,37.4384451,"125363, г Москва, б-р Яна Райниса, д 1 стр 1",8811aa7221fffff
45,45,45,45,"""Москва, Братиславская улица, 8""",109341,55.66287045,37.75227644884769,"109341, г Москва, р-н Марьино, ул Братиславская, д 8",8811aa6b43fffff
46,46,46,46,"""Москва, Поперечный просек, 11с8""",107014,55.8062805,37.6840469,"107014, г Москва, р-н Сокольники, Поперечный просек, д 11 стр 8",8811aa630dfffff
47,47,47,47,"""Москва, улица Маршала Тимошенко, 17к»""",121359,55.7466077,37.3947586,"121359, г Москва, р-н Кунцево, ул Маршала Тимошенко, д 17 к 2А",8811aa44adfffff
48,48,48,48,"""Москва, Багратионовский проезд, 7к3""",121087,55.7429319,37.5048277,"121087, г Москва, р-н Филевский парк, Багратионовский пр-д, д 7 к 31",8811aa7a55fffff
49,49,49,49,"""Москва, Огородный проезд, 9Ас1""",127322,55.8215264,37.590055,"127322, г Москва, Бутырский р-н, ул Милашенкова, влд 2Г",8811aa71abfffff
50,50,50,50,"""Москва, Шмитовский проезд, 30""",123317,55.75583555,37.53760544172026,"123317, г Москва, Пресненский р-н, Шмитовский проезд, д 30",8811aa7a1bfffff
51,51,51,51,"""Москва, улица Раменки, 25к3""",119607,55.6879754,37.494997445915445,"119607, г Москва, р-н Раменки, ул Раменки, д 25 к 3",8811aa7b5dfffff
52,52,52,52,"""Москва, Авиационная улица, 79к1""",123182,55.8069921,37.4503009,"123182, г Москва, р-н Щукино, ул Авиационная, д 77 к 1",8811aa7323fffff
53,53,53,53,"""Москва, улица Авиаконструктора Микояна, 10""",125252,55.7902489,37.5323245,"125252, г Москва, Хорошевский р-н, ул Авиаконструктора Микояна, д 10",8811aa7139fffff
54,54,54,54,"""Москва, 2-я Лыковская улица""",123458,55.7821589,37.3938072,"123458, г Москва, р-н Строгино, ул Лыковская 2-я, д 29",8811aa46b3fffff
55,55,55,55,"""Москва, Крылатская улица, 17к1""",121614,55.7704077,37.4244078,"121614, г Москва, Крылатское р-н, ул Крылатская, д 17 к 1",8811aa44cbfffff
56,56,56,57,"""Москва, 2-я Синичкина улица, 17""",111020,55.76188775,37.71591469565486,"111020, г Москва, р-н Лефортово, ул 2-я Синичкина, д 17",8811aa7893fffff
57,57,57,58,"""Москва, Петровско-Разумовский проезд, 24к4""",127287,55.8030764,37.5636158,"127287, г Москва, Савеловский р-н, Петровско-Разумовский проезд, д 24 к 4",8811aa71e1fffff
58,58,58,59,"""Москва, Криворожская улица""",117638,55.6685407,37.6158168,"117638, г Москва, Нагорный р-н, ул Криворожская, д 11",8811aa7919fffff
59,59,59,60,"""Москва, Неманский проезд, вл18с1""",123592,55.8168091,37.3937693,"123592, г Москва, р-н Строгино, Неманский пр-д, д 18 стр 1",8811aa7345fffff
60,60,60,61,"""Москва, проспект Мира, 102к2""",129626,55.8017297,37.6366135,"129626, г Москва, Алексеевский р-н, пр-кт Мира, д 102 к 2",8811aa6341fffff
61,61,61,62,"""Москва, Бобруйская улица, 32""",121359,55.73944245,37.39654232542999,"121359, г Москва, р-н Кунцево, ул Бобруйская, д 32",8811aa44e9fffff
62,62,62,63,"""Москва, Проектируемый проезд № 5822""",121471,55.6828084,37.4290332,"121471, г Москва, Очаково-Матвеевское р-н, ул Рябиновая, д 38 стр 5",8811aa45e3fffff
63,63,63,64,"""Москва, Крылатская ул., 2""",121552,55.7551936,37.435682147825766,"121552, г Москва, Крылатское р-н, ул Крылатская, д 2",8811aa44c1fffff
64,64,64,65,"""Москва, Рублёвское шоссе (дублёр)""",121615,55.7429348,37.4272361,"121615, г Москва, р-н Кунцево, Рублёвское шоссе, д 22 к 1",8811aa44c7fffff
65,65,65,66,"""Москва, Лиственничная аллея, 14""",127434,55.8358736,37.5664871,"127434, г Москва, Тимирязевский р-н, Лиственничная аллея, д 14",8811aa71ddfffff
66,66,66,67,"""Москва, Алымова улица""",107392,55.8034695,37.7122166,"107392, г Москва, Преображенское р-н, ул Просторная, д 2 стр 2",8811aa633bfffff
67,67,67,68,"""Москва, Ковров переулок, 3""",109544,55.7395458,37.68297755332296,"109544, г Москва, Таганский р-н, Ковров пер, д 3",8811aa7881fffff
68,68,68,69,"""Москва, 3-я Кабельная улица, 2""",111024,55.74576675,37.71778283623058,"111024, г Москва, р-н Лефортово, ул 3-я Кабельная, д 2 стр 4",8811aa78bbfffff
69,69,69,70,"""Москва, 1-я Мытищинская улица, 28с4""",129626,55.8005844,37.6459535,"129626, г Москва, Алексеевский р-н, ул 1-я Мытищинская, д 21",8811aa6343fffff
70,70,70,71,"""Москва, Береговой проезд, 4к3""",121087,55.7578129,37.5018767,"121087, г Москва, р-н Филевский парк, Береговой пр-д, д 4 к 3",8811aa7a5bfffff
71,71,71,72,"""Москва, Волгоградский просп., 62""",109462,55.7062116,37.755859,"109462, г Москва, р-н Кузьминки, Волгоградский пр-кт, д 62",8811aa6a29fffff
72,72,72,73,"""Москва, ул. Кухмистерова, 4""",109388,55.68586055,37.7186241,"109388, г Москва, р-н Печатники, ул Кухмистерова, д 4",8811aa7985fffff
73,73,73,74,"""Москва, Окская улица, 30к1""",109457,55.71477335,37.768220613580255,"109457, г Москва, р-н Кузьминки, ул Окская, д 30 к 1",8811aa6a01fffff
74,74,74,75,"""Москва, Поперечный просек, 17к41""",107014,55.8065728,37.66345407111838,"107014, г Москва, р-н Сокольники, Поперечный просек, д 17 к 41",8811aa6355fffff
75,75,75,76,"""Москва, Электролитный проезд, 3с34""",115230,55.6733356,37.6139765,"115230, г Москва, Нагорный р-н, Электролитный проезд, д 10 стр 11",8811aa7825fffff
76,76,76,77,"""Москва, Новозаводская улица, 26с3""",121087,55.7509962,37.5086102,"121087, г Москва, р-н Филевский парк, ул Новозаводская, д 11/5 стр 14",8811aa44b3fffff
77,77,77,78,"""Москва, улица Дмитрия Ульянова, 4к1""",119333,55.6936059,37.5569661,"119333, г Москва, Академический р-н, ул Дмитрия Ульянова, д 4 к 1",8811aa7857fffff
78,78,78,79,"""Москва, Суворовская улица""",107023,55.7944195,37.7119483,"107023, г Москва, Преображенское р-н, ул Суворовская, д 37",8811aa6331fffff
